Name,Address,City,State
KIDS-N-KAPERS NURSERY,1896 COURTLAND,Lexington,KY
CHARLIE'S SEAFOOD,926 WINCHESTER ROAD,Lexington,KY
2ND FLOOR CLUB KITCHEN,4201 VERSAILLES RD.,Lexington,KY
GRIFFIN GATE MARRIOTT RESORT AND SPA,1800 NEWTOWN PIKE,Lexington,KY
PHILLIP'S GROCERY & DELI,553 SOUTH LIMESTONE,Lexington,KY
WILDCAT CAFE @ UK MEDICAL CENTER,800 ROSE STREET,Lexington,KY
MINGLEWOOD,159 NORTH LIMESTONE,Lexington,KY
A P  SUGGINS,345 ROMANY RD,Lexington,KY
"GRILLFISH LEXINGTON, LLC",265 N LIMESTONE ST,Lexington,KY
AIRPORT FOOD MART,5584 VERSAILLES ROAD,Lexington,KY
AL'S BAR,601 NORTH LIMESTONE,Lexington,KY
DUNKIN DONUTS,316 E NEW CIRCLE RD,Lexington,KY
ARBY'S #1128,540 NEW CIRCLE RD S-4,Lexington,KY
ARBY'S #1339,507 S LIMESTONE ST,Lexington,KY
ARBY'S OF LEXINGTON #1952,2270 ELKHORN DR,Lexington,KY
ARBY'S #1092,2649 RICHMOND RD,Lexington,KY
ARBY'S #784,1228 S BROADWAY,Lexington,KY
ARBY'S #1299,3261 NICHOLASVILLE RD,Lexington,KY
ARBY'S #159,212 SOUTHLAND DR,Lexington,KY
ARBY'S RESTAURANT,3391 TATES CREEK RD,Lexington,KY
ARLINGTON ELEMENTARY SCHOOL,928 N LIMESTONE ST,Lexington,KY
ASHLAND ELEMENTARY SCHOOL,195 N ASHLAND AVE,Lexington,KY
ASHLAND TERRACE,475 S ASHLAND AVE,Lexington,KY
BLUEGRASS CAFE @ BCTC,470 COOPER DRIVE,Lexington,KY
AUSTIN CITY SALOON,2350 WOODHILL DR #100,Lexington,KY
"KETCH, THE",2012 REGENCY RD,Lexington,KY
O'NEILL'S,2051 RICHMOND ROAD,Lexington,KY
THE BAR INC,224 E MAIN ST,Lexington,KY
BASKIN ROBBINS,3383 TATES CREEK RD,Lexington,KY
BURGERFI,391 ROSE ST,Lexington,KY
BEST FRIENDS BAR,500 EUCLID AVENUE,Lexington,KY
BEAUMONT MIDDLE SCHOOL,2080 GEORGIAN WAY,Lexington,KY
BIG BLUE BIRD EARLY CHILDHOOD CTR,1945 EASTLAND PKWY,Lexington,KY
GAY BREWER JR CRS @ PICADOME,469 PARKWAY DR,Lexington,KY
JOELLA'S HOT CHICKEN,101 COCHRAN RD,Lexington,KY
ARAMARK CAFETERIA / BLACKBURN CORR COMPLEX,3111 SPURR ROAD,Lexington,KY
BLUE GRASS CHRISTIAN CAMP,7463 ATHENS-BOONESBORO ROAD,Lexington,KY
"LEARNING CENTER, THE",475 PRICE ROAD,Lexington,KY
TALLEY'S BBQ,1479 BOARDWALK,Lexington,KY
"BOB EVANS RESTAURANT, LLC #53",2560 RICHMOND RD,Lexington,KY
"BOB EVANS RESTAURANT, LLC  #107",2341 BUENA VISTA RD,Lexington,KY
WAFFLE HOUSE # 1099,1000 GEORGETOWN ROAD,Lexington,KY
BOOKER T WASHINGTON ELEMENTARY,707 HOWARD STREET,Lexington,KY
BRECKINRIDGE ELEMENTARY SCHOOL,2101 ST MATILDA DR,Lexington,KY
OFF THE HOOKAH,504 EUCLID AVENUE,Lexington,KY
BRYAN STATION MIDDLE SCHOOL,1865 WICKLAND DR,Lexington,KY
BRYAN STATION HIGH SCHOOL,1866 EDGEWORTH DR,Lexington,KY
MARIA'S KITCHEN,805 N BROADWAY,Lexington,KY
"ROSE BUD, THE",121 NORTH MILL STREET,Lexington,KY
TACO BELL #23279,2917 RICHMOND RD,Lexington,KY
BURGER KING #1007,2217 NICHOLASVILLE RD,Lexington,KY
BURGER KING #1923,451 NEW CIRCLE RD,Lexington,KY
C & P RESTAURANT,1000 MANCHESTER ST,Lexington,KY
"CAMPBELL HOUSE, THE",1375 S BROADWAY,Lexington,KY
CONCESSION #104 PAPA JOHNS #2277,1540 UNIVERSITY DR,Lexington,KY
CONCESSION # 265 @ KROGER FIELD,1540 UNIVERSITY DRIVE,Lexington,KY
CONCESSION # 211 @ KROGER FIELD,1540 UNIVERSTIY DRIVE,Lexington,KY
PAPI'S MEXICAN RESTAURANT & BAR,818 EUCLID AVE,Lexington,KY
CAPTAIN D'S,245 NEW CIRCLE ROAD,Lexington,KY
CAPTAIN D'S,167 EAST REYNOLDS ROAD,Lexington,KY
CAPTAIN D'S,125 NORTH MT TABOR ROAD,Lexington,KY
CARDINAL HILL HOSPITAL,2050 VERSAILLES RD,Lexington,KY
CARDINAL VALLEY ELEM. SCHOOL,218 MANDALEY ROAD,Lexington,KY
LINKBELT,2651 PALUMBO DRIVE,Lexington,KY
CHERISH THE CHILD,102 DENNIS DR,Lexington,KY
CASSIDY ELEMENTARY SCHOOL,1125 TATES CREEK RD,Lexington,KY
LEXINGTON TENNIS CLUB SNACKBAR,410 REDDING ROAD,Lexington,KY
CAFE CENTRAL @ BAPTIST HEALTH HOSPITAL,1740 S LIMESTONE ST,Lexington,KY
CHARLIE BROWN'S,816 EUCLID AVE,Lexington,KY
SAWYER'S BAR & GRILL,325 W MAIN ST,Lexington,KY
RIDGE BEHAVIORAL HEALTH,3050 RIO DOSA DR,Lexington,KY
"RUDDY DUCK GRILLE, THE",131 CHEAPSIDE,Lexington,KY
"MOUSE TRAP, THE",3323 TATES CREEK ROAD,Lexington,KY
CHEVY CHASE INN,833 E. EUCLID AVENUE,Lexington,KY
CHICK-FIL-A  - FAYETTE MALL,3401 NICHOLASVILLE RD STE FC-5A,Lexington,KY
CHILDREN'S HAVEN,736 W MAIN ST,Lexington,KY
ARIRANG GARDEN,109 MT TABOR RD,Lexington,KY
CHRIST THE KING SCHOOL,412 COCHRAN RD,Lexington,KY
CHURCH OF GOD CAMP,3500 VERSAILLES RD,Lexington,KY
CLAYS MILL ELEMENTARY SCHOOL,2319 CLAYS MILL RD,Lexington,KY
COLUMBIA STEAK HOUSE,201 NORTH LIMESTONE,Lexington,KY
COMMUNITY ACTION COUNCIL,913 GEORGETOWN RD,Lexington,KY
CIRCLE K #3214,3469 BUCKHORN DR,Lexington,KY
CIRCLE K #3302,3130 PIMLICO PARKWAY,Lexington,KY
JIMMY JOHN'S,1397 W MAIN STREET,Lexington,KY
COLUMBIA STEAKHOUSE GRILLE,2750 RICHMOND RD,Lexington,KY
COURTYARD LEXINGTON NORTH,775 NEWTOWN CT,Lexington,KY
COWBOY'S,1515 RUSSELL CAVE RD,Lexington,KY
CRACKER BARREL OLD COUNTRY STORE #19,1927 STANTON WAY,Lexington,KY
CRAWFORD MIDDLE SCHOOL,1813 CHARLESTON DR,Lexington,KY
CRESTWOOD CHRISTIAN CHILD CC,1882 BELLEFONTE DR,Lexington,KY
"THE CURB, LLC",2314 PARIS PIKE,Lexington,KY
DAIRY QUEEN,3509 LANSDOWNE DRIVE,Lexington,KY
DEEP SPRINGS SCHOOL,1919 BRYNELL DR,Lexington,KY
"DELI MART, INC., THE",1009 GEORGETOWN ROAD,Lexington,KY
DIXIE ELEMENTARY SCHOOL,1940 EASTLAND PKWY,Lexington,KY
LA UNICA,1429 VILLAGE DR,Lexington,KY
DOMINO'S PIZZA,3101 CLAYS MILL RD,Lexington,KY
EL SABOR DE MEXICO RESTAURANT & TAYUENA,1505 RUSSELL CAVE RD.,Lexington,KY
DOMINO'S PIZZA,801 EUCLID AVE,Lexington,KY
DONUT DAYS,185 SOUTHLAND DRIVE,Lexington,KY
DAIRY QUEEN,2300 PALUMBO DRIVE,Lexington,KY
CHINA HUT,850 LANE ALLEN RD,Lexington,KY
EDUCARE LEARNING CENTER,2832 SNOW ROAD,Lexington,KY
SHAW'S CHILD CARE,2813 SNOW ROAD,Lexington,KY
SHELL-ESTEPP'S FOOD MART DELI,1951 STANTON WAY,Lexington,KY
LEE'S FAM. RECI. CHICKEN #7470,1487 BOARDWALK DRIVE,Lexington,KY
LEE'S FAM. RECI. CHICKEN #7472,3014 RICHMOND ROAD,Lexington,KY
FASIG-TIPTON MAIN DINING,2400 NEWTOWN PIKE,Lexington,KY
TACO BELL #29739,2323 VERSAILLES RD,Lexington,KY
FRISCH'S #148,1927 HARRODSBURG RD,Lexington,KY
FAZOLI'S #1605,2195 -A RICHMOND ROAD,Lexington,KY
CLAMATO'S,2304 VERSAILLES RD,Lexington,KY
"BURLEY STATION, DBA, BURLEY FARMS",4300 WINCHESTER RD,Lexington,KY
GARDEN SPRINGS CHILD DEVELOPMENT CENTER,2033 GARDEN SPRINGS DRIVE,Lexington,KY
GARDEN SPRINGS ELEMENTARY SCHOOL,2151 GARDEN SPRINGS DR,Lexington,KY
IPALAPA'S RESTAURANT,1765 ALEXANDRIA DR,Lexington,KY
GEORGE'S DELI AND GROCERY,161 NORTH LIMESTONE,Lexington,KY
YUMMY YUMMY,1395 WEST MAIN ST,Lexington,KY
BLUEFIRE BAR & GRILL,401 W. HIGH STREET,Lexington,KY
LEXINGTON RESCUE MISSION,444 GLEN ARVIN AVE,Lexington,KY
GLENDOVER ELEMENTARY SCHOOL,710 GLENDOVER RD,Lexington,KY
TARGET STORES T-366,131 WEST REYNOLDS ROAD,Lexington,KY
UK / UK SAMARITAN HOSPITAL,310 S LIMESTONE ST,Lexington,KY
THE SIRE,120 WEST SECOND STREET,Lexington,KY
GREENBRIER COUNTRY CLUB,2179 BAHAMA ROAD,Lexington,KY
MIDWAY FOOD MART,3895 WINCHESTER ROAD,Lexington,KY
"LITTLE TOT'S LEARNING CTR, LLC",3580 CAULDER RD,Lexington,KY
HARDEE'S,2990 RICHMOND RD,Lexington,KY
HARDEE'S,1125 WINCHESTER ROAD,Lexington,KY
QDOBA MEXICAN GRILL #2086,265 EUCLID AVENUE,Lexington,KY
HARDEE'S,202 NEW CIRCLE RD,Lexington,KY
HARRISON ELEMENTARY SCHOOL,161 BRUCE ST,Lexington,KY
PUDDLE JUMPERS LEARNING CENTER,1940 CAMBRIDGE DR.,Lexington,KY
HENRY CLAY HIGH SCHOOL,2100 FONTAINE RD,Lexington,KY
HILTON SUITES LEXINGTON,245 LEXINGTON GREEN CIRCLE,Lexington,KY
CLARION HOTEL,1950 NEWTOWN PIKE,Lexington,KY
HOMESTEAD NURSING HOME,1608 VERSAILLES RD,Lexington,KY
HORSESHOES SALOON & STEAKHOUSE,1987 NORTH BROADWAY,Lexington,KY
ST. JOSEPH EAST-DIETARY DEPT.,150 NORTH EAGLE CREEK,Lexington,KY
HYATT REGENCY/MAIN KITCHEN,401 W  HIGH ST,Lexington,KY
PETE'S WOK,537 A WALLER AVENUE,Lexington,KY
BURGER & SHAKE,219 E NEW CIRCLE RD,Lexington,KY
ARAMARK-BLDG 3/LEXMARK,740 NEW CIRCLE RD,Lexington,KY
IDLE HOUR COUNTRY CLUB,1815 RICHMOND RD,Lexington,KY
IDLE HOUR SNACK BAR,1815 RICHMOND ROAD,Lexington,KY
IMMANUEL BAPTIST CHURCH,3100 TATES CREEK ROAD,Lexington,KY
MINIT MART #672,1949 NORTH BROADWAY,Lexington,KY
IROQUOIS HUNT CLUB,7496 GRIMES MILL ROAD,Lexington,KY
JAMES LANE ALLEN ELEM SCHOOL,1901 APPOMATTOX RD,Lexington,KY
DENNY'S #8766,1880 NEWTOWN PIKE,Lexington,KY
DENNY'S #8770,1949 NICHOLASVILLE RD,Lexington,KY
LEX EXPRESS,176 NEW CIRCLE RD,Lexington,KY
JESSE CLARK MIDDLE SCHOOL,3341 CLAYS MILL RD,Lexington,KY
STEAM ACADEMY,123 E SIXTH ST,Lexington,KY
JULIUS MARKS ELEMENTARY SCHOOL,3277 PEPPERHILL RD,Lexington,KY
STAND 213,4201 VERSAILLES RD,Lexington,KY
SAKURA JAPANESE RESTAURANT,1015 WINCHESTER ROAD,Lexington,KY
KENTUCKY FRIED CHICKEN,1494 BOARDWALK,Lexington,KY
KINDER CARE LEARNING CTR #963,3199 CUSTER DRIVE,Lexington,KY
KINDER CARE LEARNING CTR #936,2611 WILHITE DR,Lexington,KY
KINDERCARE NURSERY,628 WELLINGTON WAY,Lexington,KY
MUMBAI MASALA LLC,102 WEST HIGH STREET,Lexington,KY
KROGER L-784,704 EUCLID AVE,Lexington,KY
KROGER L-352,2335 NICHOLASVILLE RD,Lexington,KY
KROGER L-347,4014 TATES CREEK RD,Lexington,KY
KROGER L-361,1808 ALEXANDRIA DR,Lexington,KY
KENTUCKY FRIED CHICKEN,2401 NICHOLASVILLE ROAD,Lexington,KY
KENTUCKY FRIED CHICKEN,3030 RICHMOND ROAD,Lexington,KY
PALMER'S FRESH GRILL,161 LEXINGTON GREEN CIRCLE #C8,Lexington,KY
IPALAPA'S,102 W VINE ST,Lexington,KY
LAFAYETTE AT COUNTRY PLACE,690 MASON HEADLEY ROAD,Lexington,KY
LAFAYETTE CHILD CARE,1836 CLAYS MILL ROAD,Lexington,KY
DUPREE CATERING & EVENTS,201 E MAIN ST 15TH FL,Lexington,KY
LAFAYETTE HIGH SCHOOL,400 REED LN,Lexington,KY
LAKESIDE GOLF COURSE SNACK BAR,3725 RICHMOND ROAD,Lexington,KY
LANSDOWNE ELEMENTARY SCHOOL,336 REDDING RD,Lexington,KY
LEE'S FAM. RECI. CHICKEN #7474,1318 VERSAILLES ROAD,Lexington,KY
LEESTOWN MIDDLE SCHOOL,2010 LEESTOWN RD,Lexington,KY
FUSION @ ERICKSON HALL,135 GRAHAM AVE,Lexington,KY
"BLUEGRASS FOODS, INC.",825 LANE ALLEN,Lexington,KY
LEXINGTON CATHOLIC SR HIGH,2250 CLAYS MILL RD,Lexington,KY
BLUE CONCOURSE NO. 4,430 WEST VINE STREET,Lexington,KY
KENTUCKY CATTLEMEN,430 W VINE STREET,Lexington,KY
MAIN EXPOSITION (EAST),430 W. VINE STREET,Lexington,KY
LEX CNTR CORP - MAIN COMMISSARY,430 W VINE ST,Lexington,KY
GOLD STAR CHILI,430 W. VINE ST.,Lexington,KY
LEXINGTON COUNTRY CLUB,2550 PARIS PIKE,Lexington,KY
LEXINGTON COUNTRY PLACE,700 MASON HEADLEY ROAD,Lexington,KY
LEXINGTON ICE CENTER,560 EUREKA SPRINGS DRIVE,Lexington,KY
"LEXINGTON SCHOOL, THE",1050 LANE ALLEN RD,Lexington,KY
THE TULIP BISTRO & BAR,355 ROMANY RD,Lexington,KY
LEXINGTON TRADITIONAL MAGNET SCHOOL,350 N LIMESTONE ST,Lexington,KY
HANNA'S ON LIME,214 SOUTH LIMESTONE STREET,Lexington,KY
LINLEE,2420 SPURR ROAD,Lexington,KY
FITZ'S SPORTS BAR,209 OLD GEORGETOWN STREET,Lexington,KY
ROSE & JIM'S,2461 GEORGETOWN RD,Lexington,KY
LONG JOHN SILVER'S #12,2197 VERSAILLES ROAD,Lexington,KY
NOODLES AND COMPANY,2468 NICHOLASVILLE ROAD,Lexington,KY
A&W RESTAURANT,652 E MAIN STREET,Lexington,KY
LORADALE MARKET,6888 RUSSELL CAVE RD.,Lexington,KY
LOUDON SQUARE BUFFET,801 NORTH BROADWAY,Lexington,KY
LYNAGH'S,384 WOODLAND AVENUE,Lexington,KY
"OLD SAN JUAN, CUBAN CUISINE",247 SURFSIDE DR.,Lexington,KY
MALABU PUB AND GRILLE,239 SURFSIDE DR,Lexington,KY
MARINO'S DAY CARE CENTER,130 WEST FIFTH STREET,Lexington,KY
MARY TODD ELEMENTARY SCHOOL,551 PARKSIDE DR,Lexington,KY
MAXWELL ELEMENTARY SCHOOL,333 WOODLAND AVE,Lexington,KY
WEE CARE DAYCARE,455 E MAXWELL ST,Lexington,KY
MAYFAIR MANOR,3300 TATES CREEK ROAD,Lexington,KY
MAYFAIR VILLAGE,3310 TATES CREEK ROAD,Lexington,KY
HARVEY'S,200 W MAIN ST,Lexington,KY
MCDONALD'S,357 SOUTH LIMESTONE,Lexington,KY
MCDONALD'S RESTAURANT #989,2321 VERSAILLES RD,Lexington,KY
MCDONALD'S RESTAURANT #1231,2483 NICHOLASVILLE ROAD,Lexington,KY
MCDONALD'S,1499 RUSSELL CAVE RD.,Lexington,KY
MCDONALD'S,2271 ELKHORN DRIVE,Lexington,KY
MCDONALD'S #6111,1114 E NEW CIRCLE RD,Lexington,KY
MCDONALD'S,4131 TATES CREEK CTR,Lexington,KY
CAMBRIDGE PLACE,2020 CAMBRIDGE DRIVE,Lexington,KY
MEADOWTHORPE ELEM SCHOOL,1710 FORBES RD,Lexington,KY
TRINITY HILLS FOOD SERVICE,3600 TATES CREEK RD,Lexington,KY
MEALS ON WHEELS,460 EAST MAIN STREET,Lexington,KY
MERRICK INN,1074 MERRICK DRIVE,Lexington,KY
MILLCREEK ELEMENTARY SCHOOL,3660 APPIAN WAY,Lexington,KY
CITGO FOOD MART,705 LOUDON AVENUE,Lexington,KY
G MART,2353 PARIS PIKE,Lexington,KY
BLUEGRASS MART,464 SQUIRES CIRCLE,Lexington,KY
ATHENS FOOD MART,5522 ATHENS-BOONESBORO ROAD,Lexington,KY
MORTON MIDDLE SCHOOL,1225 TATES CREEK RD,Lexington,KY
MIMI'S SOUTHERN STYLE COOKING,126 E NEW CIRCLE ROAD,Lexington,KY
DURANGO'S MEXICAN RESTAURANT,"2121 RICHMOND ROAD, SUITE 150",Lexington,KY
NORTHERN ELEMENTARY SCHOOL,340 ROOKWOOD PKWY,Lexington,KY
O'CHARLEY'S #209,2895 RICHMOND ROAD,Lexington,KY
O'CHARLEY'S #212,2270 NICHOLASVILLE ROAD,Lexington,KY
OFFICE LOUNGE,1533 EASTLAND PARKWAY,Lexington,KY
OLEIKA SHRINE TEMPLE,326 SOUTHLAND DRIVE,Lexington,KY
COMEDY OFF BROADWAY,161 LEXINGTON GRN CIRCLE #C-4,Lexington,KY
ORIGINAL GREAT AMERICAN COOKIES,3401 NICHOLASVILLE ROAD #134,Lexington,KY
PAISANO'S RESTAURANT,2417 NICHOLASVILLE ROAD,Lexington,KY
PARKETTE,1230 NEW CIRCLE RD NE,Lexington,KY
PEPPERHILL PRE-SCHOOL,2104 EASTWAY DRIVE,Lexington,KY
PICADOME ELEMENTARY SCHOOL,1642 HARRODSBURG RD,Lexington,KY
SUBWAY,386 WOODLAND AVENUE,Lexington,KY
THE WEST INDIES FRIED CHICKEN,2213 VERSAILLES ROAD,Lexington,KY
"CENTRO, LOLA II LLC DBA",113 CHEAPSIDE PARK,Lexington,KY
HILTON LEXINGTON DOWNTOWN,369 W. VINE STREET,Lexington,KY
RAFSKELLER @ TRANSYLVANIA UNIVERSITY,300 N BROADWAY,Lexington,KY
RED LOBSTER #0188,2550 NICHOLASVILLE RD,Lexington,KY
RED MILE - WAGERS,1101 WINBAK WAY,Lexington,KY
BAYOU BLUEGRASS CATERING@,861 S BROADWAY,Lexington,KY
SPEARMINT RHINO,5539 ATHENS-BOONESBORO ROAD,Lexington,KY
RICHMOND PLACE,3051 RIO DOSA DRIVE,Lexington,KY
BAD WOLF BURGERS,350 FOREMAN AVE,Lexington,KY
ROSE MANOR,3057 N. CLEVELAND ROAD,Lexington,KY
JAX,161 LEXINGTON GREEN CIRCLE,Lexington,KY
RUSSELL CAVE ELEMENTARY,3375 RUSSELL CAVE RD,Lexington,KY
TRANSYLVANIA UNIVERSITY CAFE,300 NORTH BROADWAY,Lexington,KY
SAYRE HEALTHCARE CENTER,3775 BELLEAU WOOD DR.,Lexington,KY
SAYRE SCHOOL CAFETERIA,194 N LIMESTONE ST,Lexington,KY
SAYRE CHRISTIAN VILLAGE,3816 CAMELOT DR,Lexington,KY
CHUCK E CHEESE,1555 NEW CIRCLE RD,Lexington,KY
SIGEE'S,2143 NORTH BROADWAY,Lexington,KY
SIR PIZZA,131 EAST REYNOLDS ROAD,Lexington,KY
MARIKKA'S RESTAURANT,411 SOUTHLAND DRIVE,Lexington,KY
PIZZA HUT #2966,393 WALLER AVE,Lexington,KY
SIR PIZZA COMMISSARY,2604 RICHMOND ROAD,Lexington,KY
BANGKOK HOUSE,275 AVENUE OF CHAMPIONS - BASEMENT,Lexington,KY
JOSIE'S GRAB N GO,821 CHEVY CHASE PLACE,Lexington,KY
SOUTHERN ELEMENTARY SCHOOL,340 WILSON DOWNING RD,Lexington,KY
SOUTHERN MIDDLE SCHOOL,400 WILSON DOWNING RD,Lexington,KY
300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,Lexington,KY
SPEEDWAY #9394,1001 GEORGETOWN RD,Lexington,KY
SPINDLETOP RESTAURANT,3414 IRON WORKS PIKE,Lexington,KY
SPRING VALLEY GOLF CLUB,2300 SANDERSVILLE ROAD,Lexington,KY
SPUDS TAVERN,"3130 PIMLICO PARKWAY, STE. 101",Lexington,KY
R & R ENTERTAINMENT DBA SQUIRES TAVERN,3429 BUCKHORN DR #3,Lexington,KY
ST. JOSEPH HOSPITAL,1 ST. JOSEPH DRIVE,Lexington,KY
ST. PETER AND PAUL SCHOOL,133 BARR ST,Lexington,KY
COOKOUT,855 S BROADWAY,Lexington,KY
STELLA'S KY DELI,143 JEFFERSON STREET,Lexington,KY
STONEWALL ELEMENTARY SCHOOL,3251 CORNWALL DR,Lexington,KY
BEAR AND THE BUTCHER,815 EUCLID AVE,Lexington,KY
SURVIVORS,161 E. REYNOLDS ROAD,Lexington,KY
"RED STATE BARBECUE, RED PHOENIX LLC, DBA",4020 GEORGETOWN RD,Lexington,KY
SPEEDWAY #9658,900 WINCHESTER RD,Lexington,KY
SPEEDWAY #9667,716 NORTH BROADWAY,Lexington,KY
SPEEDWAY #9675,819 S LIMESTONE ST,Lexington,KY
SPEEDWAY #9591,2301 VERSAILLES RD,Lexington,KY
SPEEDWAY #9704,447 NEW CIRCLE ROAD,Lexington,KY
SPEEDWAY #9621,2490 NICHOLASVILLE RD,Lexington,KY
SPEEDWAY #9593,2900 RICHMOND RD,Lexington,KY
SPEEDWAY #9512,515 EUCLID AVE,Lexington,KY
SPEEDWAY #9677,1401 LEESTOWN RD,Lexington,KY
